"year","price","transmission","mileage","tax","mpg","engineSize"
"2013","16770","Semi-Auto","41366","300","39.2","3.0"
"2016","11990","Manual","39853","20","72.4","1.5"
"2017","19890","Semi-Auto","27219","145","56.5","2.1"
"2015","12880","Semi-Auto","32786","145","53.3","2.1"
"2017","18660","Semi-Auto","23257","145","61.4","2.1"
"2014","14498","Semi-Auto","39442","20","64.2","2.1"
"2015","16995","Semi-Auto","30995","30","62.8","2.1"
"2016","19798","Semi-Auto","29643","125","60.1","2.1"
"2017","22498","Semi-Auto","30028","145","56.5","2.1"
"2016","27998","Semi-Auto","43910","145","56.5","2.1"
"2016","16998","Semi-Auto","21967","125","53.3","2.0"
"2018","20498","Manual","18831","145","46.3","2.1"
"2016","21998","Semi-Auto","25313","160","51.4","3.0"
"2015","20498","Semi-Auto","43072","205","39.2","2.1"
"2016","19498","Semi-Auto","38238","165","52.3","3.0"
"2015","19298","Semi-Auto","40912","125","57.7","2.1"
"2015","21498","Semi-Auto","44984","300","39.2","3.0"
"2014","20998","Semi-Auto","60488","200","39.8","2.0"
"2018","31298","Semi-Auto","6951","145","47.9","2.1"
"2013","9498","Manual","80158","30","62.8","1.8"
"2019","19998","Semi-Auto","14922","145","45.6","1.3"
"2016","17998","Semi-Auto","35721","30","64.2","2.1"
"2019","22599","Semi-Auto","5026","145","67.3","2.1"
"2017","19999","Semi-Auto","16339","125","56.5","2.1"
"2018","24799","Semi-Auto","20087","145","47.1","2.0"
"2017","13499","Manual","22926","20","68.9","1.5"
"2014","10495","Manual","53954","20","70.6","1.5"
"2018","18995","Manual","21000","145","48.7","1.6"
"2017","36995","Semi-Auto","15154","300","39.2","3.0"
"2017","17495","Automatic","45500","125","56.5","2.1"
"2017","18995","Automatic","11800","145","61.4","2.1"
"2016","17495","Semi-Auto","44499","125","56.5","2.1"
"2019","37499","Semi-Auto","5680","145","48.7","2.9"
"2018","27495","Semi-Auto","16347","145","57.7","2.0"
"2019","21499","Semi-Auto","14244","145","45.6","1.3"
"2018","57995","Semi-Auto","1861","145","40.9","3.0"
"2018","56000","Semi-Auto","2286","145","40.9","3.0"
"2017","35995","Semi-Auto","16830","235","44.8","2.2"
"2019","22490","Semi-Auto","1378","145","45.6","1.3"
"2019","23395","Semi-Auto","1928","145","55.4","2.0"
"2019","21795","Manual","6959","145","46.3","1.6"
"2017","33495","Semi-Auto","22574","300","33.6","4.0"
"2018","39999","Semi-Auto","24624","145","32.8","3.0"
"2018","21999","Semi-Auto","15381","145","56.5","2.1"
"2014","23495","Semi-Auto","27265","235","37.7","2.0"
"2017","24790","Semi-Auto","28894","145","56.5","2.1"
"2019","46495","Semi-Auto","5524","145","47.9","2.9"
"2019","34790","Semi-Auto","5298","145","57.7","2.0"
"2016","23790","Semi-Auto","32549","125","56.5","2.1"
"2017","18495","Semi-Auto","22994","145","48.7","2.0"
"2019","22499","Semi-Auto","1352","145","45.6","1.3"
"2015","17960","Semi-Auto","38339","125","56.5","2.1"
"2014","17350","Automatic","29211","30","62.8","2.1"
"2016","23920","Automatic","18865","30","65.7","2.1"
"2018","20490","Semi-Auto","7024","145","67.3","1.5"
"2018","20490","Automatic","7148","145","67.3","1.5"
"2018","18990","Semi-Auto","17423","145","67.3","1.5"
"2019","19990","Semi-Auto","9980","145","67.3","1.5"
"2017","22960","Semi-Auto","21225","20","67.3","2.1"
"2016","15770","Semi-Auto","31711","20","67.3","2.1"
"2019","22270","Automatic","3233","145","44.1","1.6"
"2019","25795","Semi-Auto","12986","145","58.9","2.0"
"2016","25495","Semi-Auto","24290","125","56.5","2.1"
"2019","24999","Semi-Auto","13423","145","72.4","2.0"
"2016","28490","Semi-Auto","29889","145","56.5","2.1"
"2019","62495","Semi-Auto","11545","145","23.9","5.5"
"2018","28499","Semi-Auto","25861","145","56.5","2.1"
"2019","26890","Semi-Auto","1705","145","42.2","1.6"
"2019","35990","Semi-Auto","5526","145","70.6","2.0"
"2019","26885","Semi-Auto","2622","145","42.2","1.6"
"2017","27999","Semi-Auto","37069","200","47.9","2.1"
"2016","15699","Semi-Auto","30301","20","65.7","2.1"
"2017","18499","Semi-Auto","28480","30","64.2","1.6"
"2017","15499","Semi-Auto","18138","125","53.3","1.6"
"2019","25499","Semi-Auto","5600","145","67.3","2.0"
"2019","24995","Semi-Auto","8400","145","72.4","2.0"
"2019","26499","Semi-Auto","11329","145","51.4","2.2"
"2017","21495","Semi-Auto","18658","145","67.3","2.0"
"2019","24499","Semi-Auto","3984","145","44.1","1.5"
"2019","30495","Semi-Auto","8771","145","44.1","2.0"
"2019","29999","Semi-Auto","1683","145","55.4","2.0"
"2019","26499","Semi-Auto","10432","145","51.4","2.2"
"2017","31498","Semi-Auto","13718","145","42.8","3.0"
"2019","13498","Semi-Auto","30200","145","67.3","1.5"
"2015","17998","Semi-Auto","28235","30","62.8","2.1"
"2014","12498","Semi-Auto","35677","20","68.9","2.1"
"2014","15998","Semi-Auto","34382","30","64.2","2.1"
"2016","23998","Semi-Auto","14946","125","56.5","2.1"
"2016","27998","Semi-Auto","21750","205","47.9","2.1"
"2017","20498","Semi-Auto","18076","30","70.6","2.1"
"2017","19498","Semi-Auto","49866","150","65.7","2.0"
"2017","19698","Semi-Auto","6631","150","48.7","1.6"
"2016","14770","Semi-Auto","21745","125","53.3","2.0"
"2018","17218","Semi-Auto","16141","145","70.6","2.1"
"2016","16820","Semi-Auto","39096","125","58.9","2.1"
"2018","19097","Semi-Auto","7844","145","53.3","1.3"
"2018","19097","Semi-Auto","10494","145","53.3","1.3"
"2016","25100","Semi-Auto","27703","125","56.5","2.1"
"2016","16328","Semi-Auto","49066","125","58.9","2.1"
"2014","17330","Semi-Auto","32475","30","64.2","2.1"
"2017","17789","Semi-Auto","63019","125","61.4","2.1"
"2015","17044","Semi-Auto","48123","30","64.2","2.1"
"2020","23990","Semi-Auto","2500","145","37.2","1.6"
"2018","15500","Manual","6423","145","68.9","1.5"
"2020","21990","Manual","151","145","47.1","1.3"
"2020","25990","Semi-Auto","2000","145","47.9","1.3"
"2017","24250","Semi-Auto","24168","125","56.5","2.1"
"2017","17330","Semi-Auto","22684","145","64.2","2.1"
"2015","13500","Semi-Auto","35343","20","68.9","2.1"
"2017","18795","Automatic","46294","20","67.3","2.1"
"2015","15837","Semi-Auto","31091","125","55.4","2.1"
"2016","15220","Semi-Auto","39656","20","65.7","2.1"
"2016","17765","Automatic","36308","125","56.5","2.1"
"2016","14220","Semi-Auto","45868","20","65.7","2.1"
"2017","22260","Semi-Auto","27637","30","64.2","2.1"
"2017","36999","Semi-Auto","10946","305","32.8","3.0"
"2016","19495","Semi-Auto","31532","125","57.7","2.1"
"2019","27799","Semi-Auto","565","145","28.5","2.0"
"2016","18880","Semi-Auto","45143","30","65.7","2.0"
"2019","41880","Automatic","151","145","29.7","3.0"
"2019","30990","Automatic","151","145","55.4","2.0"
"2019","38880","Automatic","1347","145","47.1","3.0"
"2019","28880","Automatic","7324","145","46.3","1.5"
"2019","28990","Automatic","2501","145","64.2","2.0"
"2016","18700","Semi-Auto","33237","125","58.9","2.1"
"2018","19495","Semi-Auto","17911","145","50.4","1.6"
"2017","16299","Semi-Auto","19160","145","68.9","2.1"
"2017","23499","Semi-Auto","7898","145","67.3","2.0"
"2017","79999","Semi-Auto","13781","145","30.1","4.0"
"2019","18499","Semi-Auto","18588","145","65.7","1.5"
"2019","19895","Semi-Auto","10985","145","46.3","1.5"
"2019","27595","Semi-Auto","11480","145","56.5","2.0"
"2018","22880","Semi-Auto","23061","145","67.3","2.1"
"2018","19097","Semi-Auto","9753","145","53.3","1.3"
"2018","19097","Semi-Auto","7456","145","53.3","1.3"
"2017","17997","Automatic","21298","145","56.5","2.1"
"2019","16930","Manual","5317","145","49.6","1.6"
"2017","20500","Automatic","14611","145","67.3","2.1"
"2017","19395","Semi-Auto","22767","145","72.4","2.0"
"2016","17863","Automatic","28483","125","56.5","2.1"
"2016","20105","Automatic","14965","30","64.2","2.1"
"2017","21100","Semi-Auto","21524","145","56.5","2.1"
"2016","18037","Semi-Auto","25593","125","58.9","2.1"
"2016","17997","Semi-Auto","29217","125","56.5","2.1"
"2018","18927","Semi-Auto","15013","145","65.7","1.5"
"2018","19127","Semi-Auto","15116","145","65.7","1.5"
"2019","28400","Semi-Auto","1287","145","56.5","2.0"
"2019","21835","Semi-Auto","9422","145","67.3","1.5"
"2019","20130","Semi-Auto","5263","145","53.3","1.3"
"2018","18436","Semi-Auto","7756","145","68.9","1.5"
"2016","22765","Automatic","25178","30","65.7","2.1"
"2019","18718","Semi-Auto","14825","145","68.9","1.5"
"2016","17770","Semi-Auto","27306","20","64.2","2.1"
"2017","18433","Semi-Auto","34278","145","61.4","2.1"
"2017","19231","Automatic","23174","145","68.9","2.1"
"2019","18499","Semi-Auto","16467","145","65.7","1.5"
"2020","34999","Semi-Auto","2271","145","44.8","2.0"
"2016","21440","Semi-Auto","26600","20","67.3","2.1"
"2015","16690","Semi-Auto","14726","20","64.2","2.1"
"2017","18447","Automatic","54961","145","56.5","2.1"
"2016","17462","Semi-Auto","24412","30","64.2","2.1"
"2016","12456","Manual","49436","20","72.4","1.5"
"2017","16979","Manual","11811","20","68.9","1.5"
"2017","22170","Semi-Auto","19155","145","67.3","2.1"
"2018","15694","Manual","43396","145","68.9","1.5"
"2016","15490","Semi-Auto","22178","30","65.7","1.6"
"2017","19890","Semi-Auto","22693","125","56.5","2.1"
"2016","17690","Semi-Auto","33242","125","56.5","2.1"
"2016","17690","Semi-Auto","41520","125","56.5","2.1"
"2017","21290","Semi-Auto","21165","160","52.3","3.0"
"2020","35400","Semi-Auto","2000","145","46.3","2.0"
"2020","35400","Semi-Auto","2000","145","46.3","2.0"
"2020","25490","Semi-Auto","2000","145","45.6","2.0"
"2017","20990","Semi-Auto","19733","150","48.7","2.0"
"2018","20855","Semi-Auto","8279","145","53.3","1.3"
"2017","21115","Semi-Auto","31538","145","67.3","2.1"
"2019","19990","Manual","13862","145","28.5","1.3"
"2019","19990","Manual","14210","145","28.5","1.3"
"2019","21497","Semi-Auto","3539","145","64.2","1.6"
"2019","21840","Semi-Auto","10904","145","67.3","1.5"
"2017","16898","Manual","24093","150","62.8","2.1"
"2014","16498","Semi-Auto","33961","145","55.4","2.1"
"2017","31998","Semi-Auto","20224","160","52.3","3.0"
"2018","27498","Semi-Auto","12170","145","54.3","2.0"
"2016","19498","Semi-Auto","24111","0","134.5","2.0"
"2020","29999","Semi-Auto","1100","145","44.8","1.3"
"2017","16499","Semi-Auto","30536","150","50.4","2.0"
"2016","14999","Semi-Auto","22433","20","74.3","1.5"
"2016","18799","Semi-Auto","19930","20","70.6","2.1"
"2018","23499","Semi-Auto","9979","150","56.5","2.1"
"2017","19799","Semi-Auto","9186","150","56.5","2.1"
"2019","53999","Semi-Auto","9015","150","30.1","3.0"
"2019","19999","Manual","7709","150","28.5","1.3"
"2018","19297","Automatic","7236","145","53.3","1.3"
"2018","18885","Automatic","7047","145","53.3","1.3"
"2019","22990","Semi-Auto","11520","145","53.3","1.3"
"2019","18904","Semi-Auto","7848","145","68.9","1.5"
"2018","27698","Semi-Auto","10579","145","54.3","2.0"
"2016","7750","Semi-Auto","77456","235","42.8","3.0"
"2018","18250","Semi-Auto","22239","145","52.3","1.6"
"2018","28500","Semi-Auto","12670","145","56.5","2.1"
"2014","9500","Manual","66237","20","72.4","1.5"
"2016","18295","Semi-Auto","20582","125","58.9","2.1"
"2018","18995","Semi-Auto","13189","145","52.3","1.6"
"2017","23495","Semi-Auto","23033","30","65.7","2.1"
"2016","21995","Semi-Auto","28000","125","56.5","2.1"
"2017","26995","Semi-Auto","33153","145","56.5","2.1"
"2016","16695","Automatic","26000","30","64.2","2.1"
"2018","41995","Automatic","14718","145","37.2","3.0"
"2015","11995","Semi-Auto","75229","125","60.1","2.1"
"2017","15195","Manual","56960","20","67.3","2.1"
"2013","10995","Manual","69965","125","50.4","1.6"
"2017","21565","Automatic","39447","145","47.1","2.0"
"2017","21697","Semi-Auto","28272","145","47.1","2.0"
"2017","20370","Automatic","17050","145","67.3","2.1"
"2019","46770","Automatic","11231","145","37.2","3.0"
"2013","24530","Automatic","56061","190","44.8","3.5"
"2017","16190","Manual","33912","20","68.9","1.5"
"2016","20990","Semi-Auto","20972","30","64.2","2.1"
"2017","15990","Manual","22231","145","49.6","1.6"
"2015","15770","Semi-Auto","60111","30","62.8","2.1"
"2017","21690","Semi-Auto","22484","145","65.7","2.0"
"2014","14975","Semi-Auto","58145","200","47.1","3.0"
"2013","10950","Manual","56000","20","70.6","1.5"
"2014","13990","Automatic","56488","145","55.4","2.1"
"2016","15750","Semi-Auto","52964","20","67.3","2.1"
"2016","15790","Semi-Auto","43280","125","56.5","2.1"
"2016","15990","Semi-Auto","52518","20","67.3","2.1"
"2014","12750","Semi-Auto","74000","30","62.8","2.1"
"2014","15990","Semi-Auto","45559","30","62.8","2.1"
"2017","18295","Automatic","49434","125","58.9","2.1"
"2016","21295","Semi-Auto","64995","125","56.5","2.1"
"2014","12795","Semi-Auto","54358","125","58.9","2.1"
"2015","16995","Automatic","50231","125","56.5","2.1"
"2017","18995","Semi-Auto","30877","150","53.3","1.6"
"2017","18990","Manual","17261","160","43.5","2.0"
"2015","17450","Automatic","60972","160","52.3","3.0"
"2013","14990","Automatic","26038","160","44.1","2.0"
"2018","21990","Semi-Auto","32153","145","61.4","2.0"
"2013","14750","Automatic","56198","200","46.3","3.0"
"2014","13950","Semi-Auto","45527","20","64.2","2.1"
"2017","16450","Semi-Auto","37112","20","68.9","2.1"
"2017","14950","Manual","54952","30","64.2","2.1"
"2017","27950","Automatic","22244","145","56.5","2.1"
"2016","11450","Manual","23563","20","68.9","1.5"
"2016","18250","Semi-Auto","35025","125","58.9","2.1"
"2017","17495","Semi-Auto","40316","30","64.2","2.1"
"2018","16195","Automatic","22000","145","52.3","1.6"
"2016","24495","Automatic","32790","260","42.8","3.0"
"2017","25995","Semi-Auto","47776","200","47.9","3.0"
"2014","15495","Semi-Auto","60895","145","55.4","2.1"
"2014","12450","Manual","55253","30","62.8","2.1"
"2015","14990","Manual","35283","145","48.7","1.6"
"2015","17790","Semi-Auto","30000","125","55.4","2.1"
"2015","13490","Automatic","63797","20","68.9","2.1"
"2016","17990","Semi-Auto","34356","20","72.4","2.0"
"2015","25990","Semi-Auto","56617","235","44.8","2.2"
"2016","15290","Manual","42365","20","64.2","2.1"
"2014","11990","Manual","61307","20","70.6","1.5"
"2017","15495","Manual","65261","30","64.2","2.1"
"2016","14495","Automatic","50995","30","64.2","1.6"
"2016","15295","Manual","41774","20","67.3","2.1"
"2016","20995","Semi-Auto","8008","20","67.3","2.1"
"2016","17699","Semi-Auto","15511","125","52.3","2.0"
"2017","17299","Semi-Auto","27775","145","67.3","2.1"
"2018","16499","Manual","30066","150","68.9","1.5"
"2016","16499","Semi-Auto","40930","150","54.3","3.0"
"2018","20495","Semi-Auto","24158","145","60.1","2.1"
"2019","24736","Semi-Auto","10605","145","64.2","2.0"
"2019","33995","Semi-Auto","5000","145","45.6","2.0"
"2017","18495","Semi-Auto","41857","145","61.4","2.1"
"2017","28699","Semi-Auto","30063","145","56.5","2.1"
"2015","17491","Semi-Auto","33204","125","55.4","2.1"
"2019","28995","Semi-Auto","4099","145","46.3","1.5"
"2019","47995","Semi-Auto","7018","145","36.7","2.0"
"2019","24795","Semi-Auto","4499","145","28.5","1.3"
"2016","13999","Manual","21396","20","72.4","1.5"
"2017","15999","Semi-Auto","13158","150","68.9","2.1"
"2016","19501","Semi-Auto","25783","20","67.3","2.0"
"2018","21495","Semi-Auto","8016","145","52.3","1.6"
"2017","14995","Semi-Auto","26109","20","68.9","2.1"
"2019","26499","Semi-Auto","13304","145","72.4","2.0"
"2018","41999","Semi-Auto","8107","145","52.3","3.0"
"2019","25499","Semi-Auto","7488","145","67.3","2.0"
"2018","31950","Semi-Auto","34229","145","56.5","2.1"
"2016","18795","Semi-Auto","48207","30","65.7","2.0"
"2018","22499","Semi-Auto","26695","145","65.7","2.0"
"2017","15065","Semi-Auto","14219","30","55.4","1.6"
"2017","21190","Semi-Auto","14044","150","61.4","2.1"
"2017","22998","Semi-Auto","9926","150","65.7","2.0"
"2018","18998","Semi-Auto","14232","145","65.7","1.5"
"2014","12998","Manual","39558","20","70.6","1.5"
"2015","14998","Semi-Auto","45033","125","56.5","2.1"
"2014","12498","Semi-Auto","43904","20","68.9","2.1"
"2015","12998","Semi-Auto","42724","20","68.9","2.1"
"2014","11498","Manual","60321","20","70.6","1.5"
"2017","21595","Semi-Auto","12648","145","67.3","2.1"
"2017","21295","Semi-Auto","36135","30","65.7","2.1"
"2016","19995","Semi-Auto","19488","30","64.2","2.1"
"2018","21795","Semi-Auto","15387","145","48.7","1.6"
"2018","21495","Semi-Auto","17107","145","67.3","2.1"
"2018","20795","Semi-Auto","42097","145","65.7","2.0"
"2014","13799","Semi-Auto","52311","20","64.2","2.1"
"2019","24999","Semi-Auto","13967","145","72.4","2.0"
"2019","26499","Semi-Auto","2638","145","72.4","2.0"
"2019","21499","Semi-Auto","9198","150","56.5","2.0"
"2014","9999","Semi-Auto","53516","30","60.1","1.8"
"2019","26999","Semi-Auto","6134","150","72.4","2.0"
"2017","19999","Semi-Auto","27381","20","72.4","2.0"
"2015","19995","Semi-Auto","47808","300","39.2","3.0"
"2020","32499","Semi-Auto","2000","145","55.4","2.0"
"2015","13448","Semi-Auto","31878","20","65.7","2.1"
"2018","33991","Automatic","11366","265","31.4","3.0"
"2020","31991","Automatic","303","265","35.8","2.3"
"2019","37891","Automatic","303","265","31.4","3.0"
"2019","22995","Automatic","9772","265","35.8","2.3"
"2019","39950","Semi-Auto","9200","145","72.4","2.0"
"2016","14495","Semi-Auto","55769","20","68.9","2.1"
"2015","13995","Semi-Auto","62760","20","62.8","2.1"
"2016","22499","Semi-Auto","49822","125","56.5","2.1"
"2017","26999","Semi-Auto","35293","145","56.5","2.1"
"2015","15995","Semi-Auto","37544","125","51.4","1.6"
"2019","21995","Manual","13329","150","44.1","1.6"
"2017","25995","Automatic","22000","145","70.6","2.0"
"2016","19990","Semi-Auto","43000","160","51.4","3.0"
"2014","10190","Semi-Auto","62448","150","56.5","2.1"
"2016","18995","Semi-Auto","38305","30","64.2","2.1"
"2015","17485","Semi-Auto","36462","125","55.4","2.1"
"2017","17695","Automatic","7145","145","74.3","1.5"
"2016","19845","Automatic","32741","30","65.7","2.0"
"2016","23245","Semi-Auto","21210","125","56.5","2.1"
"2016","19495","Automatic","20957","125","56.5","2.1"
"2017","15995","Semi-Auto","10839","145","55.4","1.6"
"2016","15998","Semi-Auto","25202","30","65.7","1.6"
"2017","24698","Semi-Auto","28631","150","67.3","2.1"
"2017","30998","Semi-Auto","13409","235","38.2","2.0"
"2016","14398","Semi-Auto","29002","20","65.7","2.1"
"2015","15998","Semi-Auto","38858","20","67.3","2.1"
"2014","15998","Semi-Auto","66140","125","60.1","2.1"
"2017","23998","Semi-Auto","39647","125","56.5","2.1"
"2018","21996","Manual","32095","145","46.3","2.1"
"2018","19346","Manual","34483","150","46.3","2.1"
"2019","20391","Automatic","18812","150","48.7","2.1"
"2019","20995","Manual","6587","145","40.9","1.6"
"2018","19950","Semi-Auto","33082","145","64.2","2.1"
"2013","11950","Automatic","63903","30","58.9","2.1"
"2016","15995","Semi-Auto","60931","125","58.9","2.1"
"2013","11950","Semi-Auto","63903","30","58.9","2.1"
"2016","15995","Semi-Auto","60931","125","58.9","2.1"
"2018","19950","Semi-Auto","33082","145","64.2","2.1"
"2017","17695","Semi-Auto","7145","150","74.3","1.5"
"2016","21995","Semi-Auto","31689","160","51.4","3.0"
"2016","21495","Semi-Auto","16723","125","60.1","2.1"
"2017","16679","Automatic","24425","145","64.2","2.1"
"2013","11036","Manual","50674","125","61.4","1.8"
"2013","12498","Semi-Auto","38301","150","49.6","1.6"
"2015","14998","Semi-Auto","45537","20","62.8","2.1"
"2015","15998","Semi-Auto","32023","30","64.2","2.1"
"2014","13750","Automatic","49211","30","64.2","1.8"
"2016","22995","Semi-Auto","30000","125","56.5","2.1"
"2019","18990","Semi-Auto","15000","145","44.8","1.6"
"2018","17990","Semi-Auto","27000","145","48.7","2.0"
"2017","16490","Semi-Auto","17000","20","65.7","2.1"
"2016","36999","Manual","20455","200","46.3","2.1"
"2015","14490","Semi-Auto","49988","30","61.4","2.1"
"2016","15490","Manual","25978","30","64.2","2.1"
"2014","9914","Manual","55058","20","72.4","1.5"
"2017","16350","Semi-Auto","14893","30","64.2","1.6"
"2015","10477","Semi-Auto","81816","125","53.3","2.0"
"2014","11353","Manual","53520","30","64.2","2.1"
"2017","20998","Semi-Auto","17751","150","52.3","3.0"
"2015","12498","Semi-Auto","68517","125","51.4","1.6"
"2018","18998","Semi-Auto","15408","145","50.4","2.0"
"2017","19780","Manual","18458","145","47.1","1.6"
"2016","14056","Manual","32846","20","68.9","1.5"
"2015","15300","Manual","33004","125","50.4","1.6"
"2016","15990","Manual","17071","30","62.8","2.1"
"2017","19498","Semi-Auto","22424","30","60.1","2.1"
"2016","28498","Semi-Auto","22282","205","47.9","2.1"
"2017","18995","Semi-Auto","24231","145","67.3","2.1"
"2014","8160","Manual","61800","30","61.4","1.5"
"2017","19810","Semi-Auto","3857","20","68.9","2.1"
"2015","16998","Semi-Auto","34667","30","62.8","2.1"
"2017","16998","Semi-Auto","26281","30","65.7","1.6"
"2016","20498","Semi-Auto","25891","150","54.3","3.0"
"2019","21998","Manual","3270","150","28.5","1.3"
"2015","12798","Manual","54859","20","70.6","1.5"
"2014","10490","Manual","37642","0","78.5","1.5"
"2017","20157","Semi-Auto","13760","145","72.4","2.0"
"2015","22553","Automatic","25191","200","40.9","2.0"
"2017","38000","Semi-Auto","18120","150","34.0","3.0"
"2017","27250","Semi-Auto","26000","145","70.6","2.0"
"2015","11850","Semi-Auto","39877","145","53.3","2.1"
"2015","22500","Semi-Auto","50012","235","37.7","2.0"
"2016","16990","Semi-Auto","34258","30","64.2","2.1"
"2016","17240","Semi-Auto","30277","20","72.4","2.0"
"2015","11990","Semi-Auto","42600","30","68.9","1.5"
"2014","16360","Semi-Auto","46425","30","64.2","2.1"
"2018","27500","Semi-Auto","23303","145","56.5","2.1"
"2014","11999","Semi-Auto","50027","145","56.5","2.0"
"2017","27498","Semi-Auto","23351","145","56.5","2.1"
"2017","15998","Semi-Auto","38457","20","68.9","2.1"
"2015","14999","Semi-Auto","38938","20","68.9","2.1"
"2017","17000","Semi-Auto","23400","145","64.2","2.1"
"2017","16210","Semi-Auto","32632","145","64.2","2.1"
"2016","16747","Manual","19495","20","67.3","2.1"
"2015","11640","Manual","34070","30","65.7","2.1"
"2018","23440","Semi-Auto","10180","145","51.4","2.2"
"2018","17495","Manual","38004","145","46.3","2.1"
"2016","16490","Semi-Auto","27189","20","68.9","2.1"
"2017","20400","Semi-Auto","25069","145","72.4","2.0"
"2014","14790","Semi-Auto","52722","145","55.4","2.1"
"2016","16990","Semi-Auto","35394","30","64.2","2.1"
"2014","10790","Manual","43613","145","49.6","1.6"
"2017","16998","Automatic","59946","20","72.4","2.0"
"2017","19998","Semi-Auto","28129","145","45.6","2.0"
"2013","8998","Semi-Auto","49674","30","64.2","1.8"
"2016","15870","Automatic","40998","30","62.8","2.1"
"2016","16700","Automatic","23539","30","64.2","2.1"
"2016","16990","Semi-Auto","25711","125","58.9","2.1"
"2015","10490","Semi-Auto","49816","0","70.6","1.5"
"2014","11149","Semi-Auto","39173","145","56.5","2.1"
"2016","17490","Semi-Auto","21469","20","67.3","2.1"
"2014","13532","Semi-Auto","31279","20","64.2","2.1"
"2017","22881","Semi-Auto","15756","165","50.4","3.0"
"2015","16490","Semi-Auto","41300","20","67.3","2.1"
"2015","16500","Manual","34000","125","50.4","1.6"
"2016","25750","Semi-Auto","17000","125","56.5","2.1"
"2017","27495","Automatic","36061","145","56.5","2.1"
"2016","20995","Semi-Auto","14909","30","64.2","2.1"
"2016","28495","Automatic","9884","235","38.2","2.0"
"2018","25495","Semi-Auto","18752","145","70.6","2.0"
"2015","13177","Automatic","18284","125","50.4","1.6"
"2014","15971","Semi-Auto","14354","125","52.3","2.0"
"2015","18500","Semi-Auto","29917","160","45.6","2.0"
"2016","15765","Manual","17678","20","68.9","1.5"
"2014","14495","Semi-Auto","56958","30","64.2","2.1"
"2016","15990","Semi-Auto","26957","30","65.7","1.6"
"2016","16500","Semi-Auto","37538","20","74.3","1.5"
"2015","18500","Automatic","29917","160","45.6","2.0"
"2014","13250","Automatic","49211","30","64.2","1.8"
"2014","15250","Manual","28612","30","64.2","1.8"
"2016","24000","Automatic","55015","200","47.9","2.1"
"2015","15000","Automatic","20275","125","53.3","1.6"
"2016","14250","Manual","54446","20","68.9","1.5"
"2017","20498","Semi-Auto","32984","20","67.3","2.0"
"2015","18902","Automatic","23432","125","56.5","2.1"
"2016","24486","Automatic","22955","125","56.5","2.1"
"2017","19696","Automatic","26002","145","65.7","2.0"
"2018","18562","Semi-Auto","18905","145","65.7","1.5"
"2017","13790","Manual","18727","150","52.3","1.6"
"2016","14590","Manual","12995","20","72.4","1.5"
"2018","16998","Semi-Auto","23951","150","49.6","1.6"
"2015","14698","Semi-Auto","39687","125","52.3","2.0"
"2014","14288","Semi-Auto","54230","30","64.2","2.1"
"2013","9750","Semi-Auto","33706","30","64.2","1.8"
"2017","20995","Automatic","9514","145","67.3","2.1"
"2017","15995","Semi-Auto","10839","145","55.4","1.6"
"2015","11995","Semi-Auto","66037","20","68.9","2.1"
"2017","14995","Semi-Auto","24104","145","68.9","2.1"
"2016","16995","Manual","16928","20","67.3","2.1"
"2016","11495","Manual","52803","20","68.9","1.5"
"2015","22965","Automatic","18580","125","56.5","2.1"
"2017","19465","Automatic","35599","145","47.9","2.0"
"2013","13965","Semi-Auto","43475","160","51.4","2.1"
"2016","16965","Semi-Auto","35465","30","64.2","2.1"
"2018","19998","Semi-Auto","4888","145","53.3","1.3"
"2013","9480","Semi-Auto","63922","30","65.7","1.8"
"2019","27036","Automatic","10415","145","61.4","2.0"
"2019","25276","Automatic","15156","145","67.3","2.0"
"2019","27316","Semi-Auto","6184","145","58.9","2.0"
"2019","22096","Automatic","12272","145","67.3","1.5"
"2019","30236","Automatic","7831","145","44.1","2.0"
"2019","22096","Automatic","11706","145","45.6","1.3"
"2017","16402","Automatic","22214","125","53.3","2.0"
"2019","20682","Automatic","10920","145","64.2","2.1"
"2018","29232","Semi-Auto","8673","145","54.3","2.0"
"2016","12862","Manual","34458","145","50.4","1.6"
"2013","10996","Semi-Auto","72351","125","58.9","2.1"
"2015","13490","Manual","49098","20","64.2","2.1"
"2017","17490","Automatic","12355","145","68.9","2.1"
"2016","16990","Semi-Auto","35991","30","64.2","2.1"
"2014","11472","Semi-Auto","83417","145","54.3","2.1"
"2016","27995","Semi-Auto","11532","200","40.9","2.0"
"2015","12995","Semi-Auto","21578","20","68.9","2.1"
"2015","19600","Automatic","29917","160","45.6","2.0"
"2015","15500","Automatic","20275","125","53.3","1.6"
"2020","25980","Manual","2502","145","47.1","1.3"
"2017","18012","Semi-Auto","27999","20","67.3","2.1"
"2017","22532","Semi-Auto","20150","145","47.1","2.0"
"2015","20412","Semi-Auto","40270","160","51.4","3.0"
"2018","22412","Automatic","8109","145","56.5","2.1"
"2018","31026","Automatic","17663","145","48.7","2.9"
"2019","25146","Automatic","14338","145","72.4","2.0"
"2019","22076","Automatic","11864","145","45.6","1.3"
"2017","18936","Automatic","21195","20","72.4","2.0"
"2017","19722","Automatic","14222","145","72.4","2.0"
"2016","17990","Semi-Auto","30795","30","61.4","2.1"
"2017","20981","Manual","7693","145","53.3","2.0"
"2016","20782","Semi-Auto","18216","160","52.3","3.0"
